original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
ATMECS Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
PRIMUS Global Technologies,19.075199,72.849884,"Primus Residences, Kolekalyan, Mumbai - 400150, MH, India",,,Primus Residences,400150,Zone 3,MU,Mumbai,Mumbai City,Maharashtra,MH,India,in,
Intello Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",Banaswadi Main Road,560043,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Fluentgrid,17.8039777,83.3949999,"Fluentgrid global, SH144, Rushikonda, Vammivanipalem - 530045, AP, India",Fluentgrid global,,SH144,530045,,VS,Vammivanipalem,Visakhapatnam (Rural),Andhra Pradesh,AP,India,in,
Cynet Systems Inc,9.9581835,76.6229763,"Futore.NXT Systems LLP Inc., Main Eastern Highway, Kizhakkekara, Vazhakulam - 686670, KL, India",Futore.NXT Systems LLP Inc.,,Main Eastern Highway,686670,,ER,Vazhakulam,Muvattupuzha,Kerala,KL,India,in,
Softpath System,28.626069,77.303731,"Shrimate Surveillance System, D 306, D 306 PNB Building, west vinod nagar, Indraprastha Extension, Delhi - 110092, DL, India",Shrimate Surveillance System,D 306,"D 306 PNB Building, west vinod nagar",110092,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Solverminds Solutions & Technologies,13.0468945,77.618867,"Nokia Solutions and Networks, Flyover, Kempapura, Bengaluru - 560024, KA, India",Nokia Solutions and Networks,,Flyover,560024,Bengaluru North City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
63 moons Technologies,,,,,,,,,,,,,,,,
CodeForce 360,12.9029941,77.6866906,"360, 13th Cross Road, Doddakannalli, Bengaluru - 560035, KA, India",360,360,13th Cross Road,560035,Bengaluru South City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Reflections Info Systems,15.74745,76.188771,"PN Info Systems Kushtagi, 5, Bus Stand Road, Kushtagi - 583277, KA, India",PN Info Systems Kushtagi,5,Bus Stand Road,583277,,KP,Kushtagi,Koppal,Karnataka,KA,India,in,
SourceFuse Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
iB Hubs,21.816317,83.9490012,"Ib, Bilaspur - Kharagpur Highway, Jamuapali - 768216, OR, India",Ib,,Bilaspur - Kharagpur Highway,768216,,JH,Jamuapali,Orient,Odisha,OR,India,in,
Pyxis One,19.0023567,72.8264064,"World One, Shankar Rao Naram Path (Gowalia Chawl Lane), Lower Parel, Mumbai - 400013, MH, India",World One,,Shankar Rao Naram Path (Gowalia Chawl Lane),400013,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
SCIKEY,,,,,,,,,,,,,,,,
SVAM International,28.409119,77.062388,"DPS International, Sector 50, Gurugram - 122001, HR, India",DPS International,,Sector 50,122001,,GG,Gurugram,Gurugram,Haryana,HR,India,in,
Cheers Interactive,17.445777,78.378546,"Interactive Science park, Serilingampally, Hyderabad - 501506, AP, India",,,Interactive Science park,501506,West Zone,HY,Hyderabad,Hyderabad,Andhra Pradesh,AP,India,in,
Zendrive,,,,,,,,,,,,,,,,
COGENT Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,Rajasthan,RJ,India,in,
IT BY DESIGN,30.317735,76.398245,"MK, Change it, Patiala - 147008, PB, India",,,"MK, Change it",147008,,PT,Patiala,Patiala,Punjab,PB,India,in,
MyGate,12.912187,77.6362368,"MyGate, 12, 17th Cross Road, HSR Layout, Bengaluru - 560102, KA, India",MyGate,12,17th Cross Road,560102,Bengaluru South City Corporation,,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Increff,,,,,,,,,,,,,,,,
Pharmarack,,,,,,,,,,,,,,,,
Hubilo,,,,,,,,,,,,,,,,
ThoughtSpot,,,,,,,,,,,,,,,,
Solugenix,,,,,,,,,,,,,,,,
Visible Alpha,28.8021803,76.9348115,"Water visible in the pond, Sohati - 124505, HR, India",Water visible in the pond,,Water visible in the pond,124505,,JH,Sohati,Kharkhoda,Haryana,HR,India,in,
Replicon,12.9333242,77.6835824,"replicon, Sakra Hospital Road, Bellanduru, Bengaluru - 560103, KA, India",replicon,,Sakra Hospital Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Vaave,,,,,,,,,,,,,,,,
Pramati Technologies,17.4233406,78.4493438,"Pramati Technologies Pvt. Ltd., Road Number 1, Panjagutta, Hyderabad - 500034, TG, India",Pramati Technologies Pvt. Ltd.,,Road Number 1,500034,Greater Hyderabad Municipal Corporation Central Zone,HY,Hyderabad,Khairatabad mandal,Telangana,TG,India,in,
WorkIndia,,,,,,,,,,,,,,,,
BPO Convergence,28.60569,77.362387,"BPO Road, Noida - 201014, UP, India",,,BPO Road,201014,,GB,Noida,Gautam Buddha Nagar,Uttar Pradesh,UP,India,in,
A,,,,,,,,,,,,,,,,
Condeco,,,,,,,,,,,,,,,,
NIIT Technologies,12.9151861,77.6242633,"NIIT Technologies, Silkboard Double Decker Flyover, HSR Layout, Bengaluru - 560102, KA, India",NIIT Technologies,,Silkboard Double Decker Flyover,560102,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
SmarTek21,,,,,,,,,,,,,,,,
Vymo,,,,,,,,,,,,,,,,
Absolutdata Analytics,12.98366,80.246441,"LatentView Analytics, Ward 180, Chennai - 600113, TN, India",LatentView Analytics,,,600113,Adyar,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Mindfire Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Loco,25.2906991,82.9591148,"Banaras Loco Works - DLW Varanasi, Bhullanpur, Varanasi - 221004, UP, India",Banaras Loco Works - DLW Varanasi,,,221004,,,Varanasi,Varanasi,Uttar Pradesh,UP,India,in,
WEBSKITTERS TECHNOLOGY SOLUTIONS,12.913535,80.219052,"Cognizant Technology Solutions, Elcot SEZ, Ward 197, Chennai - 600119, TN, India",Cognizant Technology Solutions,,Elcot SEZ,600119,Sholinganallur,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Artoon Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Shipsy,12.9115431,77.6517042,"Shipsy, 481, 27th Main Road, HSR Layout, Bengaluru - 560102, KA, India",Shipsy,481,27th Main Road,560102,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Amelia,24.1333209,82.4306232,"Amelia North Coal Mine, Deosar Tahsil, India",Amelia North Coal Mine,,,,,,,Deosar Tahsil,Madhya Pradesh,MP,India,in,
Orcapod,,,,,,,,,,,,,,,,
Unilog,12.9060474,77.5884328,"Unilog, 20th Main Road, Shakambarinagara, Bengaluru - 560078, KA, India",Unilog,,20th Main Road,560078,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Mindgate Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Simplify Healthcare,28.7278,77.152809,"Max Healthcare, Yakutpur, Delhi - 110088, DL, India",,,Max Healthcare,110088,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Innefu Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",Banaswadi Main Road,560043,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Sedin Technologies,13.0370386,80.2166357,"Sedin Technologies Dev Center, 40, Kamatchi Puram 2nd Street, Zone 10 Kodambakkam, Chennai - 600033, TN, India",Sedin Technologies Dev Center,40,Kamatchi Puram 2nd Street,600033,CMWSSB Division 133,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Brane Enterprises,,,,,,,,,,,,,,,,
AppsTek,,,,,,,,,,,,,,,,
Edifecs,,,,,,,,,,,,,,,,
Diabsolut Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
VerSe Innovation,28.6911163,77.2141101,"Cluster Innovation Centre, Gopi Chand Narang Marg, Civil Lines Tehsil, Delhi - 110007, DL, India",Cluster Innovation Centre,,Gopi Chand Narang Marg,110007,Central Delhi,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Total IT Global,12.958648,77.6567863,"Total, 97, HAL Old Airport Road, Konena Agrahara, Bengaluru - 560017, KA, India",Total,97,HAL Old Airport Road,560017,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
