original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Infosys Finacle,30.7273172,76.8435226,"Plot Number 1, Infosys, Chandigarh - 160101, CH, India",Infosys,Plot Number 1,,Ward 26,Infosys,160101,Chandigarh,Chandigarh,,Chandigarh,CH,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AG Technologies,12.3634413,76.5961002,"Infosys Technologies Limited, Mysuru - 570001, KA, India",Infosys Technologies Limited,,,,Infosys Technologies Limited,570001,Mysuru,Mysuru taluk,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Relationship Science,23.077854,72.494798,"Science City, Sola, Bhadaj - 382220, GJ, India",Science City,,,,Sola,382220,Bhadaj,Ghatlodiya Taluka,,Gujarat,GJ,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Affluent Global Services,12.980156,77.602371,"VFS Global Services, Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar, Central Street, Sampangiram Nagar, Bangalore - 560001, KA, India",VFS Global Services,"Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar",Central Street,East Bangalore,Sampangiram Nagar,560001,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Unitech,28.4428641,77.0558748,"Unitech Cyber Park, Sector 39, Gurgaon, India",Unitech Cyber Park,,,Gurgaon,Sector 39,,Gurgaon,,,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Utopia Global,",12.931379,77.744783,"Brigade Cornerstone Utopia, Varthuru, Bangalore -, KA, India",,,Brigade Cornerstone Utopia,Mahadevapura,Varthuru,,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Euclid Innovations,17.4523593,78.3628041,"Euclid Innovations, 650 SLN Terminus, Gachibowli - Miyapur Highway, Ward 106 Serilingampally, Hyderabad - 500084, TG, India",Euclid Innovations,650 SLN Terminus,Gachibowli - Miyapur Highway,Studiorigin - Interior Designer in Hyderabad,Ward 106 Serilingampally,500084,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Konverge Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Doyen Infosolutions,28.5480365,77.2533961,"HD Infosolutions, 89, Nehru Place, Kalkaji Tehsil, Delhi - 110019, DL, India",HD Infosolutions,89,Nehru Place,South East Delhi,Kalkaji Tehsil,110019,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DeepTek,,,,,,,,,,,,,,,,,,,,
StockEdge,,,,,,,,,,,,,,,,,,,,
Enquero,,,,,,,,,,,,,,,,,,,,
Kapture CRM,23.665992,86.119191,"CRM, Bokaro - 827016, JH, India",,,CRM,,,827016,Bokaro,Bokaro,BO,Jharkhand,JH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Foodhub,19.6786297,72.9081922,"FoodHub, Mumbai Delhi Highway, - 401403, MH, India",FoodHub,,Mumbai Delhi Highway,,,401403,,Palghar Subdistrict,TN,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vuram,,,,,,,,,,,,,,,,,,,,
TrueTech Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
AspireNXT,,,,,,,,,,,,,,,,,,,,
Kutir Corporation,26.8738969,75.778378,"Sudama Kutir Road, Gopalpura, Jaipur Municipal Corporation - 302005, RJ, India",Sudama Kutir Road,,Sudama Kutir Road,Surya Nagar,Gopalpura,302005,Jaipur Municipal Corporation,Sanganer Tehsil,,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Azilen Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Contec Global,28.549457,77.251235,"Contec Systems, Hemkund Colony, Delhi - 110019, DL, India",Contec Systems,,,,Hemkund Colony,110019,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kissflow,,,,,,,,,,,,,,,,,,,,
Expedite Technology Solutions,12.913535,80.219052,"Cognizant Technology Solutions, Elcot SEZ, Ward 197, Chennai - 600119, TN, India",Cognizant Technology Solutions,,Elcot SEZ,Sholinganallur,Ward 197,600119,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sigma,17.4572602,78.3437975,"sigma lake, Masjid Banda, Hyderabad, Serilingampalle mandal, India",sigma lake,,,,Masjid Banda,,Hyderabad,Serilingampalle mandal,,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ubique Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ankercloud GmbH,,,,,,,,,,,,,,,,,,,,
TechnoIdentity,,,,,,,,,,,,,,,,,,,,
Transact Campus Inc,,,,,,,,,,,,,,,,,,,,
Optimum Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Pragmasys Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,DLF Tower 10th Road,Gurgaon,Sector 25A,122010,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IRIS Business Services,12.9706384,77.6072605,"Iris Business Hotel, Brigade Road, Ashokanagar, Bengaluru - 560025, KA, India",Iris Business Hotel,,Brigade Road,Bengaluru Central City Corporation,Ashokanagar,560025,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quarks,,,,,,,,,,,,,,,,,,,,
ATSG,,,,,,,,,,,,,,,,,,,,
Envoy Global,27.501023,82.794713,"Global, Barhani Bazar, Siddharth Nagar, India",Global,,,,,,Barhani Bazar,Siddharth Nagar,SN,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ZiMetrics Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
TrioTree Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Mantra Softech,26.7225253,88.4280329,"Softech Water Treatment, Sevoke Road, Siliguri - 734001, WB, India",Softech Water Treatment,,Sevoke Road,,,734001,Siliguri,Matigara block,DA,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Alvaria,",,,,,,,,,,,,,,,,,,,,
Saltside,,,,,,,,,,,,,,,,,,,,
Rizzle,,,,,,,,,,,,,,,,,,,,
Indus Valley Partners,30.598357,76.842307,"Indus Valley Club Entry, - 140201, PB, India",,,Indus Valley Club Entry,,,140201,,Rupnagar,,Punjab,PB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
HackerEarth,12.9337951,77.6147339,"HackerEarth, #93, IIIrd Floor, Salarpuria Business Center, 4th B Cross Road, Kormangala West, Bengaluru - 560095, KA, India",HackerEarth,"#93,  IIIrd Floor, Salarpuria Business Center",4th B Cross Road,Bengaluru South City Corporation,Kormangala West,560095,Bengaluru,Bangalore South,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Intone,,,,,,,,,,,,,,,,,,,,
Reliable Software,19.1453198,72.8463767,"Reliable Medical, Oshiwara Garden Road, K/W Ward, Mumbai - 400102, MH, India",Reliable Medical,,Oshiwara Garden Road,Mumbai Zone 3,K/W Ward,400102,Mumbai,Mumbai Suburban District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Helpshift,,,,,,,,,,,,,,,,,,,,
CEDCOSS Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Megasoft Solutions India,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
91social,,,,,,,,,,,,,,,,,,,,
RioMed,,,,,,,,,,,,,,,,,,,,
CodersBrain,,,,,,,,,,,,,,,,,,,,
VLink Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Maantic Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Placement Services,28.608691,77.039537,"Training and Placement Building, Matiyala, Delhi - 110078, DL, India",,,Training and Placement Building,,Matiyala,110078,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nevaeh Technology,28.5330082,77.1037564,"Nevaeh The Heavenly Experience (Event Venue), Samalkha, New Delhi - 110037, DL, India",Nevaeh The Heavenly Experience (Event Venue),,Nevaeh The Heavenly Experience (Event Venue),,Samalkha,110037,New Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SupraSoft,,,,,,,,,,,,,,,,,,,,
TruckX Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Symbiosis Technologies,18.582812,73.738781,"Symbiosis, Hinjawadi - 411058, MH, India",,,Symbiosis,,,411058,Hinjawadi,Pune,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sakhatech Information Systems,28.583597,77.185648,"Centre for Railway Information Systems, Moti Bagh North, Delhi - 110021, DL, India",,,Centre for Railway Information Systems,,Moti Bagh North,110021,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Azuga,",,,,,,,,,,,,,,,,,,,,
Opt IT Technologies,,,,,,,,,,,,,,,,,,,,
Exly,,,,,,,,,,,,,,,,,,,,
NovelVox,28.4587468,77.3058687,"NovelVox, Mathura Road, Faridabad - 121001, HR, India",NovelVox,,Mathura Road,,,121001,Faridabad,Faridabad,FD,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nirvana Solutions,19.211787,72.873412,"Nirvana, Shop no. 21, 22, 23, Evershine Millennium Paradise 50, Poisar, Mumbai - 400101, MH, India",Nirvana,"Shop no. 21, 22, 23, Evershine Millennium Paradise 50",,Zone 4,Poisar,400101,Mumbai,Mumbai City,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Inteliment,,,,,,,,,,,,,,,,,,,,
Optym,,,,,,,,,,,,,,,,,,,,
Planful,,,,,,,,,,,,,,,,,,,,
Cadmaxx Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Software Data,29.266385,75.995576,"Data, Hissar, India",,,,,,,Data,Hissar,,Haryana,HR,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
MINDTREE,12.9183495,77.5020135,"Mindtree Phase 1, Global Village Road, Mylasandra, Bengaluru - 560098, KA, India",Mindtree Phase 1,,Global Village Road,Bengaluru West City Corporation,Mylasandra,560098,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Magnasoft,,,,,,,,,,,,,,,,,,,,
Acuver Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,DLF Tower 10th Road,Gurgaon,Sector 25A,122010,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Systematix Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
NathCorp,,,,,,,,,,,,,,,,,,,,
CUBE84,,,,,,,,,,,,,,,,,,,,
Embee Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FCI CCM,20.910773,85.167579,"Fci, Angul, India",,,,,,,Fci,Angul,,Odisha,OR,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Scienaptic AI,,,,,,,,,,,,,,,,,,,,
Infogen Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",Banaswadi Main Road,East Bangalore,Banasavadi,560043,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Infinity,13.071236,77.6517997,"Infinity, Blossoms Road, Byrathi, Bengaluru - 560077, KA, India",Infinity,,Blossoms Road,Bengaluru East City Corporation,Byrathi,560077,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
California Software,12.9816457,77.6968724,"California Burrito, 9th Street, Dodda Nekkundi, Bengaluru - 560048, KA, India",California Burrito,,9th Street,Bengaluru East City Corporation,Dodda Nekkundi,560048,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vibrent Health,10.402365,76.147462,"Health Center, Karamuck, Thrissur, India",Health Center,,,,Health Center,,Karamuck,Thrissur,,Kerala,KL,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Adapty,,,,,,,,,,,,,,,,,,,,
ValueFirst,,,,,,,,,,,,,,,,,,,,
Amnet Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,Mumbai Zone 2,Prabhadevi,400025,Mumbai,Mumbai City District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agile Financial Technologies,,,,,,,,,,,,,,,,,,,,
Rapid Innovation,28.6911163,77.2141101,"Cluster Innovation Centre, Gopi Chand Narang Marg, Civil Lines Tehsil, Delhi - 110007, DL, India",Cluster Innovation Centre,,Gopi Chand Narang Marg,Central Delhi,Civil Lines Tehsil,110007,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Consystent Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Fintellix Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
ServiceMax,,,,,,,,,,,,,,,,,,,,
Birdeye,,,,,,,,,,,,,,,,,,,,
Kensium,,,,,,,,,,,,,,,,,,,,
Highstreet IT Solutions,18.594127,73.725408,"Grand highstreet, survey no. 234/1-4,6-7, 235/6-9, 245/1-3, Hinjawadi Phase 2 Road, Hinjawadi - 411057, MH, India",Grand highstreet,"survey no. 234/1-4,6-7, 235/6-9, 245/1-3",Hinjawadi Phase 2 Road,,,411057,Hinjawadi,Pune,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PlanSource,,,,,,,,,,,,,,,,,,,,
V2Soft,12.9189626,77.6009758,"V2Soft, 3rd Main Road, J.P Nagar, Bengaluru - 560029, KA, India",V2Soft,,3rd Main Road,Bengaluru South City Corporation,J.P Nagar,560029,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"United Online,",25.862238,93.797087,"Naga United, Golaghat, India",Naga United,,,,Naga United,,,Golaghat,,Assam,AS,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Symphony Corporation,12.9698424,77.7681356,"Symphony, Hagaduru, Bengaluru - 560066, KA, India",Symphony,,,Bengaluru East City Corporation,Hagaduru,560066,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Changepond Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
USEReady,,,,,,,,,,,,,,,,,,,,
La Net Team Software Solution.,11.89001,79.062954,"La-Gudalur, Villupuram, India",,,,,,,La-Gudalur,Villupuram,,Tamil Nadu,TN,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
SuperOps.ai,,,,,,,,,,,,,,,,,,,,
WovV Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Reputation.com,,,,,,,,,,,,,,,,,,,,
ToneTag,,,,,,,,,,,,,,,,,,,,
Calcium,17.5066316,78.3842419,"CALCIUM HOSPITAL, High Tension Line Road, Ward 123 Hydernagar, Hyderabad - 500072, TG, India",CALCIUM HOSPITAL,,High Tension Line Road,Brindavan Colony,Ward 123 Hydernagar,500072,Hyderabad,Kukatpally mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rahi,25.1329256,78.1075165,"Rahi, Pichhore Tahsil, India",,,,Rahi,,,Rahi,Pichhore Tahsil,,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BukuWarung,,,,,,,,,,,,,,,,,,,,
Contus,,,,,,,,,,,,,,,,,,,,
DWAO,,,,,,,,,,,,,,,,,,,,
Apollo,19.0663722,72.8328501,"Apollo, 466, 14th Road, Khar, Mumbai - 400050, MH, India",Apollo,466,14th Road,Mumbai Zone 3,Khar,400050,Mumbai,Mumbai Suburban District,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NAVA Software Solutions,20.739582,71.072952,"Nava Bandar, Junagadh, India",,,,,,,Nava Bandar,Junagadh,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
LeadIQ,,,,,,,,,,,,,,,,,,,,
Acqueon,,,,,,,,,,,,,,,,,,,,
SightSpectrum LLC,20.349079,85.807721,"AuroIN LLC, TCS Footpath, Bhubaneswar Municipal Corporation - 751024, OR, India",AuroIN LLC,,TCS Footpath,,,751024,Bhubaneswar Municipal Corporation,Cuttack,CU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lera Technologies,24.81565,78.32561,"Lera Nāla, Lalitpur, India",Lera Nāla,,,,,,,Lalitpur,LA,Uttar Pradesh,UP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sellcraft Global Solutions,12.9586068,77.564911,"Sidvin global solutions, 3rd Main Road, Chamarajapete, Bengaluru - 560018, KA, India",Sidvin global solutions,,3rd Main Road,Bengaluru Central City Corporation,Chamarajapete,560018,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
iMocha,,,,,,,,,,,,,,,,,,,,
Vouchagram India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
WeblineIndia,,,,,,,,,,,,,,,,,,,,
CDP India,14.5183637,78.768005,"Kadapa Airport, NH716, Indira Satellite Township, Rajiv Gruha Kalpa Housing colony - 516162, AP, India",Kadapa Airport,,NH716,Indira Satellite Township,,516162,Rajiv Gruha Kalpa Housing colony,Vallur,,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BelWo Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
TechGenies,,,,,,,,,,,,,,,,,,,,
itelligence,,,,,,,,,,,,,,,,,,,,
DSRC,13.058204,80.2612168,"Dsrc, 11, Smith Road, Zone 9 Teynampet, Chennai - 600002, TN, India",Dsrc,11,Smith Road,Ward 111,Zone 9 Teynampet,600002,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TOPS Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Webguruz Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
NeelBlue Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Ally.io,,,,,,,,,,,,,,,,,,,,
i2 Technologies,12.3634413,76.5961002,"Infosys Technologies Limited, Mysuru - 570001, KA, India",Infosys Technologies Limited,,,,Infosys Technologies Limited,570001,Mysuru,Mysuru taluk,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Resulticks,,,,,,,,,,,,,,,,,,,,
Codilar Technologies,12.9143533,77.6321989,"Codilar Technologies Pvt Ltd, 5th Main Road, HSR Layout, Bengaluru - 560102, KA, India",Codilar Technologies Pvt Ltd,,5th Main Road,Bengaluru South City Corporation,HSR Layout,560102,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
VT Netzwelt,15.315025,76.913317,"Singadeanahalli Vt Camp, Bellary, India",,,,,,,Singadeanahalli Vt Camp,Bellary,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Headout,,,,,,,,,,,,,,,,,,,,
Zen & Art,19.965388,73.773404,"WeGo Art Gallery and Art Exhibition, Shivpooja Apartment, 9, Chetna Nagar, Nashik - 422009, MH, India",WeGo Art Gallery and Art Exhibition,"Shivpooja Apartment, 9",Chetna Nagar,,,422009,Nashik,Nashik,NS,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mylo,,,,,,,,,,,,,,,,,,,,
Alumnus Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bitla Software,18.099278,78.655282,"Bitla Prabhakar, Kasulabad - 502106, TG, India",,,Bitla Prabhakar,,,502106,Kasulabad,Medak,ME,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
UniFocus,,,,,,,,,,,,,,,,,,,,
Platform9 Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shivaami Cloud Services,22.6855829,75.8359715,"Hostzop Cloud Services Pvt Ltd, 102, Annapurna Road, Vaishali Nagar, Indore - 452009, MP, India",Hostzop Cloud Services Pvt Ltd,102,Annapurna Road,Indore City,Vaishali Nagar,452009,Indore,Juni Indore Tahsil,IN,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
