original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Tera Software,23.286389,68.93913,"Tera, Kachchh, India",,,,,,,Tera,Kachchh,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Saransh Inc,25.690122,74.808497,"Saransh, Bhilwara, India",,,,,,,Saransh,Bhilwara,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
DATAECONOMY,,,,,,,,,,,,,,,,,,,,
"Futurism Technologies,",18.5837179,73.7356215,"Futurism Technologies, Blue Ridge Road, Phase 1, Hinjawadi Phase 1, Hinjawadi - 411057, MH, India",Futurism Technologies,,"Blue Ridge Road, Phase 1",,Hinjawadi Phase 1,411057,Hinjawadi,Mulshi,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
i95Dev,,,,,,,,,,,,,,,,,,,,
Winjit Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Solace Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ceinsys Tech,12.9226966,80.1279616,"TECH ZONE, 1, Velachery Main Road, East Tambaram, Tambaram - 600059, TN, India",TECH ZONE,1,Velachery Main Road,,East Tambaram,600059,Tambaram,Tambaram,KC,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CDC Software,30.908275,75.862576,"CMC/CDC, Ludhiana - 141011, PB, India",,,CMC/CDC,,,141011,Ludhiana,Ludhiana,LU,Punjab,PB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ideyaLabs,,,,,,,,,,,,,,,,,,,,
RIA Advisory,21.195084,86.604706,"Ria, Baleshwar, India",,,,,,,Ria,Baleshwar,,Odisha,OR,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Equifax India,,,,,,,,,,,,,,,,,,,,
Looking for Opportunities,9.264669,76.808984,"way for service, - 689673, KL, India",,,way for service,,,689673,,Pathanamthitta,PT,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brainly,,,,,,,,,,,,,,,,,,,,
Ittiam Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Skillmine Technology Consulting,17.4339834,78.4058605,"Oakton consulting technology, Jubilee Hills Road No 36, Jubilee Hills, Hyderabad - 500033, TG, India",Oakton consulting technology,,Jubilee Hills Road No 36,Greater Hyderabad Municipal Corporation Central Zone,Jubilee Hills,500033,Hyderabad,Shaikpet mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FiftyFive Technologies,10.977692,76.364307,"Fiftyfive Mile, Malappuram, India",,,,,,,Fiftyfive Mile,Malappuram,,Kerala,KL,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Asset Analytix,10.1211719,76.3865737,"Asset Silver Streak, Aluva-Perumbavoor Road, Aluva - 983105, KL, India",Asset Silver Streak,,Aluva-Perumbavoor Road,,,983105,Aluva,Aluva,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Phoenix Advanced Softwares,18.5620429,73.916663,"Phoenix Marketcity, 207, Viman Nagar Road, Ward 12, Pune - 411014, MH, India",Phoenix Marketcity,207,Viman Nagar Road,,Ward 12,411014,Pune,Pune City,,Maharashtra,MH,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Catchpoint,,,,,,,,,,,,,,,,,,,,
Singsys Pte,29.4645399,74.6647822,"The Arsh PTE, SH23, Ellenabad - 125102, HR, India",The Arsh PTE,,SH23,,,125102,Ellenabad,Ellenabad,SI,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IonIdea,12.9778123,77.7222311,"Ionidea, EPIP Zone, Bengaluru - 560066, KA, India",Ionidea,,,Bengaluru East City Corporation,EPIP Zone,560066,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Focus Softnet,17.3473217,78.5195889,"Focus Hospital, Bairamalguda Road, Ward 38 IS Sadan, Hyderabad - 500079, TG, India",Focus Hospital,,Bairamalguda Road,Greater Hyderabad Municipal Corporation South Zone,Ward 38 IS Sadan,500079,Hyderabad,Saroornagar mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AAPNA Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
BuyerForesight,,,,,,,,,,,,,,,,,,,,
Secomind.AI,,,,,,,,,,,,,,,,,,,,
RM Education Solutions India.,29.21408,73.601635,"4 RM, Ganganagar, India",,,,,,,4 RM,Ganganagar,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Joveo,17.4534734,78.3699517,"Joveo, Hitech city Madhapur road, Kothaguda, Hyderabad - 500081, TG, India",Joveo,,Hitech city Madhapur road,West Zone,Kothaguda,500081,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NCDEX e Markets,,,,,,,,,,,,,,,,,,,,
ControlCase,,,,,,,,,,,,,,,,,,,,
Zenith Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Learning Spiral,9.587475,76.528214,"Inspire Learning, Erayil kadavu Road, Kottayam - 686004, KL, India",Inspire Learning,,Erayil kadavu Road,,,686004,Kottayam,Kottayam,KT,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Drish Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Crestech Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Algoworks,,,,,,,,,,,,,,,,,,,,
Macrosoft,,,,,,,,,,,,,,,,,,,,
AutoRABIT,,,,,,,,,,,,,,,,,,,,
Hexagon Global,12.9115308,77.6320337,"Hexagon Global, 1236, 18th Cross Road, HSR Layout, Bengaluru - 560102, KA, India",Hexagon Global,1236,18th Cross Road,Bengaluru South City Corporation,HSR Layout,560102,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
